source,relation,target
Lepirudin,has_cas_number,138068-37-8
Lepirudin,has_state,solid
Lepirudin,approval_status,approved
Cetuximab,has_cas_number,205923-56-4
Cetuximab,has_state,liquid
Cetuximab,approval_status,approved
Dornase alfa,has_cas_number,143831-71-4
Dornase alfa,has_state,liquid
Dornase alfa,approval_status,approved
Denileukin diftitox,has_cas_number,173146-27-5
Denileukin diftitox,has_state,liquid
Denileukin diftitox,approval_status,approved
Etanercept,has_cas_number,185243-69-0
Etanercept,has_state,liquid
Etanercept,approval_status,approved
Bivalirudin,has_cas_number,128270-60-0
Bivalirudin,has_state,solid
Bivalirudin,approval_status,approved
Leuprolide,has_cas_number,53714-56-0
Leuprolide,has_state,solid
Leuprolide,approval_status,approved
Peginterferon alfa-2a,has_cas_number,198153-51-4
Peginterferon alfa-2a,has_state,liquid
Peginterferon alfa-2a,approval_status,approved
Alteplase,has_cas_number,105857-23-6
Alteplase,has_state,liquid
Alteplase,approval_status,approved
Sermorelin,has_cas_number,86168-78-7
Sermorelin,has_state,liquid
Sermorelin,approval_status,approved
Interferon alfa-n1,has_cas_number,74899-72-2
Interferon alfa-n1,has_state,liquid
Interferon alfa-n1,approval_status,approved
Darbepoetin alfa,has_cas_number,209810-58-2
Darbepoetin alfa,has_state,liquid
Darbepoetin alfa,approval_status,approved
Urokinase,has_cas_number,9039-53-6
Urokinase,has_state,liquid
Urokinase,approval_status,approved
Goserelin,has_cas_number,65807-02-5
Goserelin,has_state,solid
Goserelin,approval_status,approved
Reteplase,has_cas_number,133652-38-7
Reteplase,has_state,liquid
Reteplase,approval_status,approved
Erythropoietin,has_cas_number,11096-26-7
Erythropoietin,has_state,liquid
Erythropoietin,approval_status,approved
Salmon calcitonin,has_cas_number,47931-85-1
Salmon calcitonin,has_state,liquid
Salmon calcitonin,approval_status,approved
Interferon alfa-n3,has_state,liquid
Interferon alfa-n3,approval_status,approved
Pegfilgrastim,has_cas_number,208265-92-3
Pegfilgrastim,has_state,liquid
Pegfilgrastim,approval_status,approved
Sargramostim,has_cas_number,123774-72-1
Sargramostim,has_state,liquid
Sargramostim,approval_status,approved
Peginterferon alfa-2b,has_cas_number,215647-85-1
Peginterferon alfa-2b,has_state,liquid
Peginterferon alfa-2b,approval_status,approved
Asparaginase Escherichia coli,has_cas_number,9015-68-3
Asparaginase Escherichia coli,has_state,liquid
Asparaginase Escherichia coli,approval_status,approved
Thyrotropin alfa,has_cas_number,194100-83-9
Thyrotropin alfa,has_state,liquid
Thyrotropin alfa,approval_status,approved
"Antihemophilic factor, human recombinant",has_cas_number,139076-62-3
"Antihemophilic factor, human recombinant",has_state,solid
"Antihemophilic factor, human recombinant",approval_status,approved
Anakinra,has_cas_number,143090-92-0
Anakinra,has_state,liquid
Anakinra,approval_status,approved
Gramicidin D,has_cas_number,1405-97-6
Gramicidin D,has_state,liquid
Gramicidin D,approval_status,approved
Human immunoglobulin G,has_cas_number,308067-58-5
Human immunoglobulin G,has_state,liquid
Human immunoglobulin G,approval_status,approved
Anistreplase,has_cas_number,81669-57-0
Anistreplase,has_state,liquid
Anistreplase,approval_status,approved
Insulin human,has_cas_number,11061-68-0
Insulin human,has_state,liquid
Insulin human,approval_status,approved
Tenecteplase,has_cas_number,191588-94-0
Tenecteplase,has_state,liquid
Tenecteplase,approval_status,approved
Menotropins,has_cas_number,9002-68-0
Menotropins,has_state,liquid
Menotropins,approval_status,approved
Interferon gamma-1b,has_cas_number,98059-61-1
Interferon gamma-1b,has_state,liquid
Interferon gamma-1b,approval_status,approved
Interferon alfa-2a,has_cas_number,76543-88-9
Interferon alfa-2a,has_state,liquid
Interferon alfa-2a,approval_status,approved
Desmopressin,has_cas_number,16679-58-6
Desmopressin,has_state,solid
Desmopressin,approval_status,approved
Coagulation factor VIIa Recombinant Human,has_cas_number,102786-61-8
Coagulation factor VIIa Recombinant Human,has_state,liquid
Coagulation factor VIIa Recombinant Human,approval_status,approved
Oprelvekin,has_cas_number,145941-26-0
Oprelvekin,has_state,liquid
Oprelvekin,approval_status,approved
Palifermin,has_cas_number,162394-19-6
Palifermin,has_state,liquid
Palifermin,approval_status,approved
Glucagon,has_cas_number,16941-32-5
Glucagon,has_state,liquid
Glucagon,approval_status,approved
Aldesleukin,has_cas_number,110942-02-4
Aldesleukin,has_state,liquid
Aldesleukin,approval_status,approved
Botulinum toxin type B,has_cas_number,93384-44-2
Botulinum toxin type B,has_state,liquid
Botulinum toxin type B,approval_status,approved
Omalizumab,has_cas_number,242138-07-4
Omalizumab,has_state,solid
Omalizumab,approval_status,approved
Lutropin alfa,has_cas_number,152923-57-4
Lutropin alfa,has_state,liquid
Lutropin alfa,approval_status,approved
Lyme disease vaccine (recombinant OspA),has_state,liquid
Lyme disease vaccine (recombinant OspA),approval_status,approved
Insulin lispro,has_cas_number,133107-64-9
Insulin lispro,has_state,liquid
Insulin lispro,approval_status,approved
Insulin glargine,has_cas_number,160337-95-1
Insulin glargine,has_state,liquid
Insulin glargine,approval_status,approved
Collagenase clostridium histolyticum,has_cas_number,9001-12-1
Collagenase clostridium histolyticum,has_state,solid
Collagenase clostridium histolyticum,approval_status,approved
Rasburicase,has_cas_number,134774-45-1
Rasburicase,has_state,liquid
Rasburicase,approval_status,approved
Cetrorelix,has_cas_number,120287-85-6
Cetrorelix,has_state,solid
Cetrorelix,approval_status,approved
Adalimumab,has_cas_number,331731-18-1
Adalimumab,has_state,liquid
Adalimumab,approval_status,approved
Somatotropin,has_cas_number,12629-01-5
Somatotropin,has_state,liquid
Somatotropin,approval_status,approved
Imiglucerase,has_cas_number,154248-97-2
Imiglucerase,has_state,liquid
Imiglucerase,approval_status,approved
